timestamp,rpm,vibration,temp,flow,fault
2025-12-06T15:37:35.636997,1451.42,0.594,34.67,118.19,0
2025-12-06T15:37:36.139024,1451.53,0.577,34.79,118.87,0
2025-12-06T15:37:36.640606,1451.94,0.632,35.21,118.31,0
2025-12-06T15:37:37.142416,1453.14,0.585,34.92,119.73,0
2025-12-06T15:37:37.643537,1450.2,0.611,35.2,118.76,0
2025-12-06T15:37:38.145715,1454.55,0.604,35.27,123.09,0
2025-12-06T15:37:38.650239,1454.37,0.632,35.25,119.39,0
2025-12-06T15:37:39.153064,1449.5,0.671,35.54,119.1,0
2025-12-06T15:37:39.654633,1448.11,0.665,35.19,121.61,0
2025-12-06T15:37:40.156230,1461.81,0.717,34.91,118.93,0
2025-12-06T15:37:40.658096,1459.22,0.694,34.57,121.5,0
2025-12-06T15:37:41.159438,1455.12,0.698,34.67,120.17,0
2025-12-06T15:37:41.661101,1455.98,0.673,35.24,120.35,0
2025-12-06T15:37:42.169262,1456.22,0.695,35.46,123.04,0
2025-12-06T15:37:42.671520,1458.83,0.683,34.79,122.28,0
2025-12-06T15:37:43.173425,1459.36,0.699,34.99,121.95,0
2025-12-06T15:37:43.675505,1458.34,0.67,34.72,124.23,0
2025-12-06T15:37:44.177065,1459.26,0.73,35.43,123.42,0
2025-12-06T15:37:44.678952,1458.18,0.651,35.18,122.89,0
2025-12-06T15:37:45.180828,1457.01,0.745,35.01,123.78,0
2025-12-06T15:37:45.682889,1467.61,0.692,35.05,123.48,0
2025-12-06T15:37:46.185719,1455.95,0.747,35.05,119.58,0
2025-12-06T15:37:46.687172,1457.97,0.646,35.1,123.86,0
2025-12-06T15:37:47.189255,1454.79,0.707,34.89,122.88,0
2025-12-06T15:37:47.693154,1467.4,0.656,34.98,120.67,0
2025-12-06T15:37:48.194840,1467.49,0.67,35.12,122.2,0
2025-12-06T15:37:48.697093,1448.7,0.641,34.59,121.52,0
2025-12-06T15:37:49.198757,1463.06,0.596,35.47,125.11,0
2025-12-06T15:37:49.700919,1462.84,0.627,35.03,122.79,0
2025-12-06T15:37:50.202573,1459.63,0.631,34.78,119.29,0
2025-12-06T15:37:50.704113,1469.16,0.591,35.17,122.8,0
2025-12-06T15:37:51.205725,1462.64,0.623,35.13,121.88,0
2025-12-06T15:37:51.707831,1461.22,0.61,34.97,123.56,0
2025-12-06T15:37:52.209834,1463.14,0.629,35.27,125.61,0
2025-12-06T15:37:52.736901,1463.67,0.567,35.87,122.83,0
2025-12-06T15:37:53.238922,1465.32,0.589,34.86,125.88,0
2025-12-06T15:37:53.740336,1467.33,0.545,35.67,121.97,0
2025-12-06T15:37:54.242265,1470.68,0.563,35.36,123.96,0
2025-12-06T15:37:54.743843,1471.74,0.561,34.84,122.6,0
2025-12-06T15:37:55.245922,1470.91,0.517,35.35,124.73,0
2025-12-06T15:37:55.747442,1468.12,0.524,35.08,122.33,0
2025-12-06T15:37:56.249082,1465.09,0.528,35.4,122.2,0
2025-12-06T15:37:56.750887,1466.32,0.543,35.1,121.14,0
2025-12-06T15:37:57.252991,1462.2,0.531,34.82,121.56,0
2025-12-06T15:37:57.754896,1470.11,0.489,35.31,122.8,0
2025-12-06T15:37:58.256842,1473.78,0.529,34.92,122.64,0
2025-12-06T15:37:58.758453,1475.76,0.51,35.35,124.33,0
2025-12-06T15:37:59.260125,1464.37,0.482,35.19,125.59,0
2025-12-06T15:37:59.762122,1463.35,0.509,35.19,123.61,0
2025-12-06T15:38:00.264121,1467.25,0.496,35.45,122.08,0
2025-12-06T15:38:00.765760,1475.35,0.463,34.97,124.62,0
2025-12-06T15:38:01.267532,1476.29,0.521,35.21,121.26,0
2025-12-06T15:38:01.769144,1472.57,0.527,34.77,123.26,0
2025-12-06T15:38:02.270689,1470.76,0.577,35.62,122.68,0
2025-12-06T15:38:02.772639,1472.43,0.524,35.25,121.99,0
2025-12-06T15:38:03.274483,1467.01,0.527,35.36,126.91,0
2025-12-06T15:38:03.775849,1472.96,0.455,35.57,122.81,0
2025-12-06T15:38:04.277258,1470.51,0.526,35.08,122.19,0
2025-12-06T15:38:04.779292,1467.16,0.551,35.11,124.43,0
2025-12-06T15:38:05.280740,1463.45,0.532,35.35,122.36,0
2025-12-06T15:38:05.782739,1465.88,0.568,35.09,123.96,0
2025-12-06T15:38:06.284632,1474.12,0.6,35.02,122.37,0
2025-12-06T15:38:06.785572,1469.04,0.645,35.55,123.51,0
2025-12-06T15:38:07.287267,1475.22,0.579,35.22,123.13,0
2025-12-06T15:38:07.788608,1471.98,0.63,35.78,122.13,0
2025-12-06T15:38:08.290357,1468.47,0.636,35.17,122.28,0
2025-12-06T15:38:08.792229,1463.86,0.627,35.15,122.96,0
